Object,Z2LH_B2_2_Ld,Z2RH_B2_2_Rd,Z4_B4,Z6_2_600_B6_2_600d,Z6_2_700_B6_2_700d,Z6_2_B6_2_1d,Z8_1_B8_2,Z3_B3_2,Z5_2_B5_2_2d,Z6_3_100_B6_3_2,Z6_3_200_B6_3_2,Z6_3_300_B6_3_2,Z8_2_B8_3,Z10LH_B10_1,Z10RH_B10_1,Z22_1_1_B22_1,Z22_1_2_B22_2,Z12LH_B12_3,Z12RH_B12_3,Z22_2_1_B22_1,Z22_2_2_B22_2,Z23_CV100_B510_620
Z2LH_B2_2_Ld,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z2RH_B2_2_Rd,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z4_B4,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_2_600_B6_2_600d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_2_700_B6_2_700d,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_2_B6_2_1d,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z8_1_B8_2,0,0,2,0,0,2,0,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0
Z3_B3_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z5_2_B5_2_2d,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_3_100_B6_3_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_3_200_B6_3_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z6_3_300_B6_3_2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z8_2_B8_3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Z10LH_B10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Z10RH_B10_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Z22_1_1_B22_1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
Z22_1_2_B22_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Z12LH_B12_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Z12RH_B12_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Z22_2_1_B22_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0
Z22_2_2_B22_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1
Z23_CV100_B510_620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
